username,post_text,likes,comments,shares,followers
@style_influencer,Absolutely obsessed with this new collection! The quality is amazing 🔥🔥 #fashion,38810,359,98,410001
@tech_guru,This gadget is a game changer! Best purchase of 2024 💯 #tech,4698,1363,855,95112
@foodie_diaries,The food was just okay. Not worth the hype tbh 🍕 #foodie,7876,883,386,256856
@travel_addict,Best vacation ever! Paradise found 🌴✨ #travelgram,44536,1386,495,42249
@fitness_motivator,New workout routine is KILLING me! But results are showing 💪 #fitness,8346,1556,806,179653
@beauty_expert,This foundation is terrible. Complete waste of money 💔 #beauty,13115,994,62,222032
@memes_daily,LOL this is hilarious 😂 #memes #relatable,23157,83,931,408437
@fashion_icon,Obsessed with this outfit! Where has this been all my life? 👗 #fashion,20160,38,634,96799
@photography_lover,Breathtaking sunset capture 📸 Nature is incredible #photography,40755,1030,708,261847
@music_vibes,This album is pure perfection! Every song is a banger 🎵 #music,19625,665,174,463072
@lifestyle_blogger,Not what I expected. Pretty disappointing overall.,47070,1911,165,346933
@art_creator,Absolutely stunning artwork! The details are incredible 🎨 #art,13048,931,775,16594
@business_tips,Great tips for growing your business! Highly recommend 📈 #entrepreneur,33951,1399,917,316789
@pet_lover,My dog is the cutest! Love this little guy 🐕 #petlover,5584,1048,861,464987
@nature_captures,Nature heals everything. So peaceful and calm 🌿 #nature,9803,1098,476,57230
